TAG_ROOT				Help for the Temple of Elemental Evil - D&D 3.5e Rules 	~Circle of Eight~[TAG_CO8]~Interface Help (General Interfaces)~[TAG_INTERFACE_HELP]~Interface Help (Specific Interfaces)~[TAG_HMU_ROOT]~Character Description~[TAG_DESCRIPTION]~Abilities~[TAG_ABILITIES]~Races~[TAG_RACES]~Classes~[TAG_CLASSES]~Skills~[TAG_SKILLS]~Feats~[TAG_FEATS]~Magic~[TAG_MAGIC]~Spells~[TAG_SPELLS]~Equipment~[TAG_EQUIPMENT]~Adventuring~[TAG_ADVENTURING]~Combat~[TAG_COMBAT]~Character Conditions~[TAG_CHARACTER_CONDITIONS]~Creature Special Abilities~[TAG_SPECIAL_ABILITIES]~Monsters~[TAG_MONSTERS]~Tutorial~[TAG_TUT_ROOT]
TAG_CO8				Circle of Eight Modpack Version 8.1.0 New Content Edition	Welcome!Some important notes:1.  Run as administrator if you're using Windows Vista, Windows 7, or Windows 8.2. Set your video card to a "no scaling" setting for video playback. This will make in-game videos play at their original resolution. Some systems experience game crashes when they try to scale ToEE's videos to fit the monitor.3. Do not use quicksaves with ToEE. They corrupt easily. Instead, use an array of at least 5 regular saves while playing ToEE, overwriting each in turn. This practice should ensure that you have a good save to go back to if one becomes corrupt.4. Do not save during combat. This also runs a greater risk of save corruption.5. Do not play in Ironman mode. Save corruption is a fact of life with ToEE, and if your Ironman save becomes corrupt, you're finished. If you want an Ironman-style game, it's best to simply play Ironman-style in a regular game.6. Do not use "autosave on map change" with ToEE. Using this feature will break certain scripts in ToEE. It is set to "off" by default in the Co8 modpack.7. Do not install the moebius2778 temple.dll independently. This file has been heavily modded since moebius2778's day at Co8, and the moebius fixes are included in the current version. If you overwrite the current version with the moebius version, you will be "undoing" a great many fixes. Do not install it separately.8. Do not put an NPC in the left-most position in the party queue along the bottom of the screen. This can cause a variety of problems, such as quests not updating properly or even appearing in your logbook at all.9. Do not use Scather or Fragarach in the Fire Node or the Fire Temple. You will likely experience the endless AoO loop, and you will be very sad.Many other common issues are answered in sticky threads at the Co8 site - www.co8.org.Enjoy the game!
TAG_INTERFACE_HELP				Interface Help (General Interfaces)	[CMD_CHILDREN]Note that during game play you can access the ~Main Menu~[TAG_MAIN_MENU] at any time by pressing the ESC key, which will allow you to ~Load and Save~[TAG_LOADSAVE] games as well as Quit the game altogether.
TAG_MAIN_MENU	TAG_INTERFACE_HELP			Main Menu	The Main Menu is the first selection screen that appears when you start the game. Additionally, you can back out to this menu by quitting the game, or you can bring it up by pressing the ESC key from within the game.From the main menu, you will be able to start a New Game in either ~Normal~[TAG_NORMAL_GAME] or ~Ironman~[TAG_IRONMAN] mode, ~Load or Save~[TAG_LOADSAVE] a game, play the Tutorial, view the Game Options, or Quit the game altogether.
TAG_LOADSAVE	TAG_INTERFACE_HELP			Loading and Saving Games	From within the game, you can bring up the ~Main Menu~[TAG_MAIN_MENU] by pressing the ESC key. From the Main Menu, you can select to Save your game in progress or Load an existing game (and thus leave your current game). In the Save Game menu, you can choose an empty slot or delete a previously saved game by saving over it. You can then name your saved game.From the Load Game menu, simply click on the game you would like to load, highlighting it, and then ACCEPT it to load the game. Remember that this will destroy any game in progress.Finally, you can use the F12 key to do a Quick Save of the game at any time or the F9 key to do a Quick Load of the last Quick Save game.
TAG_NORMAL_GAME	TAG_INTERFACE_HELP			Normal Mode	The normal game allows you to reroll your character's ability points and load and save your game whenever you want. This is in contrast to the ~Ironman Mode~[TAG_IRONMAN] which gives you only one roll for your character's abilities and does not allow you to return to past saved games.
TAG_IRONMAN	TAG_INTERFACE_HELP			Ironman Mode	Ironman Mode is a special mode of the game where you are not allowed to ~Load and Save~[TAG_LOADSAVE] games, although you may Quick Save and Exit and Quick Load to return to the game. You are also not allowed to reroll your characters once you have selected them.
TAG_CHARGEN	TAG_INTERFACE_HELP			Character Generation 	Once you have selected a party alignment, you may begin character generation by selecting the blue character boxes at the bottom of the screen.First you roll for your ~ability~[TAG_ABILITIES] scores. If you don't like the outcome, you can reroll your scores. Once you find scores to your liking, you then click and drag them to the ability of your choice. Modifiers are shown as soon as you place the score.When done, you then select your ~Race~[TAG_RACES], ~Gender~[TAG_CHARGEN_GENDER], ~Height~[TAG_CHARGEN_HEIGHT], ~Hairstyle~[TAG_CHARGEN_HAIR], ~Class~[TAG_CLASSES], ~Alignment~[TAG_ALIGNMENT], and ~Deity~[TAG_RELIGION], as well as a ~portrait~[TAG_CHARGEN_PORTRAIT], ~voice~[TAG_CHARGEN_VOICE], and name for your character.You also select your class abilities (where applicable) of ~feats~[TAG_FEATS], ~skills~[TAG_SKILLS], and ~spells~[TAG_SPELLS] (if any) from the lists with available ones highlighted in white and class specific ones displayed in yellow.You must select all your skills, feats, and spells before moving on to the next category.After naming your character (the last step), you can then select FINISH and your character will be ready to begin adventuring.For more detailed information about each interface within Character Generation, please see ~Interface Help (Specific)~[TAG_HMU_ROOT], and scroll down to the PC Creation section.
TAG_INGAME	TAG_INTERFACE_HELP			In-Game Interface	You can press ESC at any time to bring up the Main Menu from within the game in order to load, save, or exit the game.Additionally, at the bottom right of the game screen, you can select party formations, your logbook, the Townmap (and World Map), rest or pass time, this help text, or the game options.You can select characters by clicking on them. For multiple characters, you can SHIFT-click on them or rope them together by clicking and dragging the mouse around the characters you want to select.You can give your characters commands through the ~radial menu~[TAG_RADIAL_MENU] by right clicking on a character.To move selected characters, left click on the destination where you would like them to move.You can left click on NPCs to interact with them. If they are not hostile, it will open a dialog with them. If they are hostile, combat will begin.
TAG_HMU_ROOT	TAG_ROOT			Interface Help (Specific Interfaces)	[CMD_CHILDREN]
TAG_CHAR_ABILITIES_UI	TAG_DUMMY			Abilities UI	The interface specifically for your character or characters can be viewed by right-clicking on the character portrait displayed on the bottom of the game screen. In the middle of the interface, you will see a large box with a series of tabs lining the top. The last tab on the right, the one that features a figure with arms spread open, is the Abilities tab. Hovering over the tab itself with your mouse will produce a description of Abilities and then clicking on the tab will open that part of the interface. Here, you will see the following list:Kill Count: the number of enemies that the character has killedDeath Count: the number of times the character has diedCharacter Generation Method (# of Rolls)Mode (will read either ~Normal~[TAG_NORMAL_GAME] or ~Ironman~[TAG_IRONMAN])
TAG_HMU_CHAR_BARTERING_UI	TAG_HMU_ROOT			Bartering UI	The Bartering interface looks very similar to the character ~inventory~[TAG_HMU_CHAR_INVENTORY_UI] with an extra pane on the left side for the NPC's inventory. Hovering over any item in your character's inventory will display the price that the NPC will buy it for, and hovering over any item in the NPC's inventory will tell you what the NPC will sell it for. To buy or sell an item, simply drag it from one inventory to the other. In some cases, the NPC will refuse to buy or sell an item, and he will tell you if that is the case.All shopkeepers can identify magic items, for a price. Simply click the Identify button and you will get a special identify cursor. Click on any unidentified magic item in your inventory and for 100 gp the shopkeeper will identify it.
TAG_HMU_CAMPING_UI	TAG_HMU_ROOT			Camping UI	The Rest/Pass Time icon lets "fast-forward" time, either a set amount, in days and hours, or until a condition is met. Click on the Rest or Pass Time button after making your selection, or click on Cancel to go back to the game.Note: While you can pass time anywhere, you are only allowed to rest in certain locations (usually at inns, if you pay first, or in the wilderness or in dungeons). If the Rest/Pass Time icon looks like a watch, you can only pass time. If it looks like a tent, you can rest. You must rest to heal and recover spells.Before resting, look carefully at the tent icon. If the background is green, you can rest safely without interruption. However, if it is yellow, you may have a ~random encounter~[TAG_HMU_RANDOM_ENCOUNTER_UI] while you rest. The type of encounter you have will depend on your location, and you cannot avoid it with the ~Survival~[TAG_SURVIVAL] skill.
TAG_HMU_CHAR_UI	TAG_HMU_ROOT			Character Screen UI	Here you may view your character's ~inventory~[TAG_HMU_CHAR_INVENTORY_UI], ~portrait~[TAG_CHARGEN_PORTRAIT], ~stats~[TAG_CHARGEN_STATS], ~skills~[TAG_SKILLS], ~feats~[TAG_FEATS], ~spells~[TAG_SPELLS] and ~abilities~[TAG_CLASS_FEATURES_DESC] of the character. For more information, please see the help text provided specifically for each one of these aspects in the character interface.
TAG_HMU_CHAR_EDITOR_CLERIC_DOMAINS	TAG_HMU_ROOT			Cleric Domains UI	If you select Cleric as your class, in the class features section you will be asked to select a Cleric ~domain~[TAG_DOMAINS]. On the left side of the interface is a listing of domains that you can choose from. On the right side is two empty slots where the selected domains can be dragged over.If you are a neutral cleric with a neutral deity, there will be an additional part of the interface present. Two buttons representing affiliation will be in the interface; one reads "Positive" and the other, "Negative".If you select the Positive affiliation, your cleric will turn undead and spontaneously cast Cure spells. If you select the Negative affiliation, your cleric will rebuke undead and spontaneously cast Inflict spells.
TAG_HMU_COMBAT_UI	TAG_HMU_ROOT			Combat UI	When entering ~combat~[TAG_COMBAT], a row of character and monster portraits will appear at the top of the screen, in order of ~initiative~[TAG_INITIATIVE]. On the left side of the screen, a bar will appear. The combat system in the game translates the actions you have available into a numerical score and displays that score as a bar, with three colors. The action bar, path movement, and the entries on the ~radial menu~[TAG_RADIAL_MENU] are all color coded as follows:Green: An action can be performed, and you will still be able to attack afterward (for ~move actions~[TAG_MOVEMENT_ACTION]) or move afterward (for attacks).Yellow: An action can be performed, but you will not be able to attack afterward (for move actions) or move much (for attacks).Red: An action cannot be performed.
TAG_HMU_COMBAT_INITIATIVE_UI	TAG_HMU_ROOT			Combat Initiative UI	Listed in ~Initiative~[TAG_INITIATIVE] order are the participants of the current combat. The blue border indicates who is currently acting.Hovering over a portrait displays the creature's vital stats.You may click on each portrait to center the game screen on that creature.You may drag portraits around to indicate your desired position in the Initiative order.Initiative Portraits are also selectable targets, e.g., you may target a portrait as the recipient of an action, and it will select the appropriate creature in the combat.Creatures gray out when they are ~unconscious~[TAG_UNCONSCIOUS] or ~dying~[TAG_DYING], and eventually are removed when they die.
TAG_HMU_D20_ROLLS_UI	TAG_HMU_ROOT			D20 Rolls History UI	The Rolls History icon brings up a scrollable history of all die rolls in the game. Combat ~attack rolls~[TAG_ATTACK_ROLL], damage rolls, ~saving throws~[TAG_SAVING_THROW_DESC], and ~skill~[TAG_USING_SKILLS] and ability checks are all in there. The roll history can be found at the bottom right corner of the game screen, on the Main Icon Bar. Above icons for Help, Townmap, etc., you will see a small crystal-shaped icon, on the extreme right of the bar. Click on that and a window will open, which shows your roll history.
TAG_HMU_DLG_UI	TAG_HMU_ROOT			Dialog UI	The Dialog window opens whenever you talk to an NPC. The top pane of the window shows the conversation thread so far, alternating between lines the NPC has said and lines your character has said. The bottom pane displays all of the current PC responses.Note: An icon appears to the left of any line that uses a dialog skill, such as ~Diplomacy~[TAG_DIPLOMACY].The Dialog History icon in the upper right displays a record of several previous conversations.
